match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name,result
3972074,2025-02-15,03:00:00.000,Mexico - Liga MX,2024/2025,América,Necaxa,2,3,,False,False,Complete,Normal,available,available,2025-02-15T17:45:40.669276,2025-02-15T17:45:40.669276,7,Clausura,Estadio Ciudad de los Deportes,Óscar Mejía García,André Soares Jardine,Nicolás Ricardo Larcamón,1.1.0,2,2,2024/2025,Loss
3971432,2024-12-13,02:00:00.000,Mexico - Liga MX,2024/2025,América,Monterrey,2,1,,False,False,Complete,Normal,available,available,2024-12-27T02:55:04.647833,2024-12-27T02:55:04.647833,24,Finals,Estadio Cuauhtémoc,Víctor Alfonso Cáceres Hernández,André Soares Jardine,Martín Gastón Demichelis,1.1.0,2,2,2024/2025,Win
3968407,2024-11-22,03:00:00.000,Mexico - Liga MX,2024/2025,Tijuana,América,2,2,,False,False,Complete,Normal,available,available,2024-12-04T13:23:36.900287,2024-12-04T13:23:36.900287,18,Play-offs - Semi-Finals,Estadio Caliente,Adonai Escobedo González,Juan Carlos Osorio Arbeláez,André Soares Jardine,1.1.0,2,2,2024/2025,Draw
3972100,2025-03-01,23:00:00.000,Mexico - Liga MX,2024/2025,América,Toluca,3,0,,False,False,Complete,Normal,available,available,2025-03-06T18:19:38.492784,2025-03-06T18:19:38.492784,10,Clausura,Estadio Ciudad de los Deportes,Jesus Rafael Lopez Valle,André Soares Jardine,Antonio Ricardo Mohamed Matijevich,1.1.0,2,2,2024/2025,Win
3939819,2024-07-06,23:00:00.000,Mexico - Liga MX,2024/2025,Atlético San Luis,América,2,1,,False,False,Complete,Normal,available,available,2024-07-09T06:18:19.255996,2024-07-09T06:18:19.255996,1,Apertura,Estadio Alfonso Lastras Ramírez (San Luis Potosí),Iván Antonio López Sánchez,Domènec Torrent Font,André Soares Jardine,1.1.0,2,2,2024/2025,Loss
3972087,2025-02-23,03:05:00.000,Mexico - Liga MX,2024/2025,Pumas UNAM,América,0,2,,False,False,Complete,Normal,available,available,2025-02-23T15:21:42.950181,2025-02-23T15:21:42.950181,8,Clausura,Estadio Olímpico de Universitario (Ciudad de México),Fernando Hernández Gómez,Gustavo Alberto Lema,André Soares Jardine,1.1.0,2,2,2024/2025,Win
3969391,2024-11-28,01:00:00.000,Mexico - Liga MX,2024/2025,América,Toluca,2,0,,False,False,Complete,Normal,available,available,2024-12-19T14:08:39.930158,2024-12-19T14:08:39.930158,20,Apertura - Quarter-finals,Estadio Ciudad de los Deportes,Óscar Mejía García,André Soares Jardine,Renato Manuel Alves Paiva,1.1.0,2,2,2024/2025,Win
3939892,2024-09-22,01:00:00.000,Mexico - Liga MX,2024/2025,Necaxa,América,1,1,,False,False,Complete,Normal,available,available,2024-11-02T14:55:59.382543,2024-11-02T14:55:59.382543,9,Apertura,Estadio Victoria de Aguascalientes,Óscar Mejía García,Eduardo Fentanes Orozco,André Soares Jardine,1.1.0,2,2,2024/2025,Draw
3972145,2025-04-13,03:15:00.000,Mexico - Liga MX,2024/2025,América,Cruz Azul,0,0,,False,False,Complete,Normal,available,available,2025-05-04T03:31:53.784605,2025-05-04T03:31:53.784605,15,Clausura,Estadio Ciudad de los Deportes,César Arturo Ramos Palazuelos,André Soares Jardine,Vicente Martín Sánchez Bragunde,1.1.0,2,2,2024/2025,Draw
3972053,2025-02-01,23:00:00.000,Mexico - Liga MX,2024/2025,América,Juárez,4,0,,False,False,Complete,Normal,available,available,2025-02-02T10:43:06.044523,2025-02-02T10:43:06.044523,5,Clausura,Estadio Ciudad de los Deportes,César Arturo Ramos Palazuelos,André Soares Jardine,Martín Varini Di Zioli,1.1.0,2,2,2024/2025,Win
