match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name
3972123,2025-03-29,01:00:00.000,Mexico - Liga MX,2024/2025,Necaxa,Querétaro,2,0,,False,False,Complete,Normal,available,available,2025-03-29T11:20:52.860217,2025-03-29T11:20:52.860217,13,Clausura,Estadio Victoria de Aguascalientes,Abraham de Jesús Quirarte Contreras,Nicolás Ricardo Larcamón,Benjamín Mora Mendívil,1.1.0,2,2,2024/2025
3972059,2025-02-06,03:10:00.000,Mexico - Liga MX,2024/2025,Pachuca,León,1,2,,False,False,Complete,Normal,available,available,2025-02-17T10:44:04.513767,2025-02-17T10:44:04.513767,1,Clausura,Estadio Hidalgo,Adonai Escobedo González,Jorge Guillermo Almada Álves,Manuel Eduardo Berizzo,1.1.0,2,2,2024/2025
3972017,2025-01-11,03:05:00.000,Mexico - Liga MX,2024/2025,Tijuana,Toluca,2,4,,False,False,Complete,Normal,available,available,2025-01-29T20:02:53.763197,2025-01-29T20:02:53.763197,1,Clausura,Estadio Caliente,Jorge Abraham Camacho Peregrina,Juan Carlos Osorio Arbeláez,Antonio Ricardo Mohamed Matijevich,1.1.0,2,2,2024/2025
3939894,2024-09-23,01:05:00.000,Mexico - Liga MX,2024/2025,Santos Laguna,Toluca,2,0,,False,False,Complete,Normal,available,available,2024-09-29T17:07:17.235186,2024-09-29T17:07:17.235186,9,Apertura,Estadio Nuevo Corona,Iván Antonio López Sánchez,Marcos Ignacio Ambriz Espinoza,Renato Manuel Alves Paiva,1.1.0,2,2,2024/2025
3972075,2025-02-16,23:00:00.000,Mexico - Liga MX,2024/2025,Querétaro,Monterrey,2,4,,False,False,Complete,Normal,available,available,2025-02-17T22:30:11.143963,2025-02-17T22:30:11.143963,7,Clausura,Estadio La Corregidora,Fernando Hernández Gómez,Benjamín Mora Mendívil,Martín Gastón Demichelis,1.1.0,2,2,2024/2025
3972163,2025-04-20,03:15:00.000,Mexico - Liga MX,2024/2025,Atlas,Guadalajara,1,1,,False,False,Complete,Normal,available,available,2025-04-21T17:32:12.106805,2025-04-21T17:32:12.106805,17,Clausura,Estadio Jalisco,Víctor Alfonso Cáceres Hernández,Gonzalo Pineda Reyes,Gerardo Espinoza Ahumada,1.1.0,2,2,2024/2025
3969168,2024-11-25,03:00:00.000,Mexico - Liga MX,2024/2025,Tijuana,Atlas,3,0,,False,False,Complete,Normal,available,available,2024-12-17T22:54:08.291799,2024-12-17T22:54:08.291799,19,Play-Offs - Finals,Estadio Caliente,Víctor Alfonso Cáceres Hernández,Juan Carlos Osorio Arbeláez,Beñat San José Gil,1.1.0,2,2,2024/2025
3939901,2024-09-28,23:00:00.000,Mexico - Liga MX,2024/2025,Toluca,Atlas,4,1,,False,False,Complete,Normal,available,available,2024-11-02T14:31:07.844135,2024-11-02T14:31:07.844135,10,Apertura,Estadio Nemesio Díez,Mario Terrazas Chávez,Renato Manuel Alves Paiva,Beñat San José Gil,1.1.0,2,2,2024/2025
3972083,2025-02-22,23:00:00.000,Mexico - Liga MX,2024/2025,Juárez,Toluca,0,4,,False,False,Complete,Normal,available,available,2025-02-24T03:22:56.986611,2025-02-24T03:22:56.986611,8,Clausura,Estadio Olímpico Benito Juárez (Ciudad Juárez),Adonai Escobedo González,Martín Varini Di Zioli,Antonio Ricardo Mohamed Matijevich,1.1.0,2,2,2024/2025
3972157,2025-04-17,02:00:00.000,Mexico - Liga MX,2024/2025,Atlético San Luis,Toluca,0,1,,False,False,Complete,Normal,available,available,2025-04-24T17:01:47.935473,2025-04-24T17:01:47.935473,16,Clausura,Estadio Alfonso Lastras Ramírez (San Luis Potosí),Maximiliano Quintero Hernández,Domènec Torrent Font,Antonio Ricardo Mohamed Matijevich,1.1.0,2,2,2024/2025
3972144,2025-04-12,23:00:00.000,Mexico - Liga MX,2024/2025,Pumas UNAM,Juárez,0,0,,False,False,Complete,Normal,available,available,2025-05-03T09:20:09.229940,2025-05-03T09:20:09.229940,15,Clausura,Estadio Olímpico de Universitario (Ciudad de México),Guillermo Pacheco Larios,Efraín Juárez Váldez,Martín Varini Di Zioli,1.1.0,2,2,2024/2025
3972159,2025-04-19,01:00:00.000,Mexico - Liga MX,2024/2025,Puebla,Necaxa,0,1,,False,False,Complete,Normal,available,available,2025-04-21T19:25:53.436787,2025-04-21T19:25:53.436787,17,Clausura,Estadio Cuauhtémoc,Guillermo Pacheco Larios,Pablo Adrián Guede Barriero,Nicolás Ricardo Larcamón,1.1.0,2,2,2024/2025
3939900,2024-09-28,03:05:00.000,Mexico - Liga MX,2024/2025,Tijuana,Mazatlán,1,0,,False,False,Complete,Normal,available,available,2024-10-07T11:20:09.013288,2024-10-07T11:20:09.013288,10,Apertura,Estadio Caliente,Víctor Alfonso Cáceres Hernández,Juan Carlos Osorio Arbeláez,Víctor Manuel Vucetich Rojas,1.1.0,2,2,2024/2025
3972036,2025-01-25,23:00:00.000,Mexico - Liga MX,2024/2025,Cruz Azul,Puebla,1,1,,False,False,Complete,Normal,available,available,2025-01-27T03:18:04.630848,2025-01-27T03:18:04.630848,3,Clausura,Estadio La Cantera (Ciudad de México (D.F.)),Jorge Abraham Camacho Peregrina,Martin Anselmi,Pablo Adrián Guede Barriero,1.1.0,2,2,2024/2025
3972129,2025-03-30,03:05:00.000,Mexico - Liga MX,2024/2025,Guadalajara,Cruz Azul,0,1,,False,False,Complete,Normal,available,available,2025-04-01T04:05:20.595430,2025-04-01T04:05:20.595430,13,Clausura,Estadio Jalisco,Jesus Rafael Lopez Valle,Gerardo Espinoza Ahumada,Vicente Martín Sánchez Bragunde,1.1.0,2,2,2024/2025
3972111,2025-03-09,03:05:00.000,Mexico - Liga MX,2024/2025,Guadalajara,América,0,0,,False,False,Complete,Normal,available,available,2025-03-09T15:26:56.555752,2025-03-09T15:26:56.555752,11,Clausura,Estadio Akron,Adonai Escobedo González,Gerardo Espinoza Ahumada,André Soares Jardine,1.1.0,2,2,2024/2025
3972151,2025-04-16,03:00:00.000,Mexico - Liga MX,2024/2025,Juárez,Necaxa,2,2,,False,False,Complete,Normal,available,available,2025-04-16T18:32:16.281893,2025-04-16T18:32:16.281893,16,Clausura,Estadio Olímpico Benito Juárez (Ciudad Juárez),Jorge Abraham Camacho Peregrina,Martín Varini Di Zioli,Nicolás Ricardo Larcamón,1.1.0,2,2,2024/2025
3972138,2025-04-06,03:10:00.000,Mexico - Liga MX,2024/2025,Cruz Azul,Pumas UNAM,3,2,,False,False,Complete,Normal,available,available,2025-04-16T04:06:40.694200,2025-04-16T04:06:40.694200,14,Clausura,Estadio Cuauhtémoc,Daniel Quintero Huittrón,Vicente Martín Sánchez Bragunde,Efraín Juárez Váldez,1.1.0,2,2,2024/2025
3968408,2024-11-22,01:05:00.000,Mexico - Liga MX,2024/2025,Guadalajara,Atlas,1,2,,False,False,Complete,Normal,available,available,2024-12-04T14:41:35.313577,2024-12-04T14:41:35.313577,18,Play-offs - Semi-Finals,Estadio Akron,César Arturo Ramos Palazuelos,Arturo Ortega Juárez,Beñat San José Gil,1.1.0,2,2,2024/2025
3939849,2024-07-21,03:05:00.000,Mexico - Liga MX,2024/2025,Cruz Azul,Toluca,1,1,,False,False,Complete,Normal,available,available,2024-07-30T22:14:47.939362,2024-07-30T22:14:47.939362,4,Apertura,Estadio Ciudad de los Deportes,Jesus Rafael Lopez Valle,Martin Anselmi,Renato Manuel Alves Paiva,1.1.0,2,2,2024/2025
3972078,2025-02-20,03:05:00.000,Mexico - Liga MX,2024/2025,Santos Laguna,Cruz Azul,0,1,,False,False,Complete,Normal,available,available,2025-02-21T19:13:16.165497,2025-02-21T19:13:16.165497,9,Clausura,Estadio Nuevo Corona,Jesus Rafael Lopez Valle,Fernando Ortiz,Vicente Martín Sánchez Bragunde,1.1.0,2,2,2024/2025
3939854,2024-08-24,03:05:00.000,Mexico - Liga MX,2024/2025,Tijuana,Monterrey,2,2,,False,False,Complete,Normal,available,available,2024-08-29T15:26:42.622845,2024-08-29T15:26:42.622845,5,Apertura,Estadio Caliente,César Arturo Ramos Palazuelos,Juan Carlos Osorio Arbeláez,Martín Gastón Demichelis,1.1.0,2,2,2024/2025
3972058,2025-02-02,23:00:00.000,Mexico - Liga MX,2024/2025,Santos Laguna,Puebla,0,2,,False,False,Complete,Normal,available,available,2025-02-10T19:06:31.100536,2025-02-10T19:06:31.100536,5,Clausura,Estadio Nuevo Corona,Víctor Alfonso Cáceres Hernández,Fernando Ortiz,Pablo Adrián Guede Barriero,1.1.0,2,2,2024/2025
3939957,2024-11-07,01:00:00.000,Mexico - Liga MX,2024/2025,Tigres UANL,Toluca,2,1,,False,False,Complete,Normal,available,available,2025-01-04T09:35:03.430568,2025-01-04T09:35:03.430568,16,Apertura,Estadio Olímpico de Universitario (Ciudad de México),Marco Antonio Ortíz Nava,Veljko Paunovic,Renato Manuel Alves Paiva,1.1.0,2,2,2024/2025
